EO_ID,ELCODE,EO_NUM,SNAME,COMNAME,ESA,USFS,BLM,SGCN,NPL,G_RANK,S_RANK,TOWNRANGE,COUNTY,WATERSHED,QUAD,QUADNAME,SURVEYDATE,LASTOBS,FIRSTOBS,DIRECTIONS,GENERAL_DESCRIPTION,EO_DATA,MANAGEMENT_COMMENTS,OWNER_COMMENTS,GENERAL_COMMENTS,REFERENCE_POINT_X,REFERENCE_POINT_Y,NS_EORANK,NS_EORANK_DESC,REP_ACCURACY,CONFIDENCE_EXTENT,EO_TYPE_BCD,AZ_EORANK,EORANK_COMMENTS,OWNERSHIP,SITENAME,UPDATE_AZ,INDATE_AZ,PREV_EST_AVAILABLE_DESC,POP_DATA
2338,ABXXX99999,11,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,380N040E,Coconino,15010001,36111-F8,Emmett Hill,NA,7/10/2000,7/10/2000,House Rock Valley: House Rock Wash,Wash (flat) with tamarisk growing thicker than 50 percent ground cover.,"2000-07-10: Found two fledged long-ears with tail feathers still not fully grown and other feathers still partly grown, observed the two adults foraging around them.",NA,NA,General comments,418378.74,4057050.09,NA,NA,NA,NA,NA,NA,NA,BLM Arizona Strip Field Office,NA,2001-01-25 JDC,2001-02-01 SMS,NA,NA
6633,ABXXX99999,1,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,040S240E,Graham,15040005,33109-A8,Fort Thomas,NA,6/8/1993,1981,Gila River: 6.2 miles east of Fort Thomas,"1993-06-08: Small patch of riparian vegetation (cottonwood, willow, sycamore, walnut, mesquite, and hackberry) within a saguaro/palo verde community. Rolling hills, west facing drainages. Spring is excluded from livestock since 1980.",1981: Fledglings in area. 1983: Fledglings in area. 1984: Fledglings in area. 1988: Fledglings in area. 1993-06-08: Two adults and at least 1 fledged chick seen.,NA,NA,General comments,604620.34,3659181.03,NA,NA,NA,NA,NA,NA,NA,BLM Safford Field Office,NA,1996-01-11 DJG,1996-01-11 SSS,NA,NA
16009,ABXXX99999,13,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,010N120W,La Paz,15070201,33113-D4,Eagletail Mountains West,NA,5/23/1993,5/23/1993,Eagletail Mountains: Deadman Wash,"Sonoran desertscrub, arizona upland biome, along wash.",1993-05-23: 2 adults and 1 juvenile observed.,NA,NA,General comments,268580.7,3698268.5,NA,NA,High,N - Confident full extent of EO is NOT known,observation,NA,NA,BLM Yuma Field Office; Eagletail Mountains Wilderness,NA,2003-05-23 GLR,2003-09-08 SMS,NA,NA
1341,ABXXX99999,3,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,100S060W,Maricopa,15070202,32112-E7,Deadman Gap,NA,1994,1994,Barry M Goldwater Air Force Range: Crater Range,"1994: Creosote bush, bursage, paloverde, saguaro cactus, and cholla cactus. Wash is dominated by paloverde, ironwood, mesquite, desert hackberry, catclaw acacia and desert willow.","1994: Birds observed during breeding season, frequency is 0.1 so=12.",NA,NA,General comments,326374.34,3600759.11,NA,NA,NA,NA,observation,NA,NA,DOD Barry M Goldwater Air Force Range,NA,2000-07-18 LBK,2000-08-03 SMS,NA,NA
16256,ABXXX99999,18,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,190S090E,Pima,15050304,31111-G4,Fresno Wash,2001,2001,2001,Altar Wash: N of Las Guijas Mountains,NA,"2001: Pair, nest failed.",NA,NA,General comments,459743.8,3513685.74,NA,NA,High,N - Confident full extent of EO is NOT known,Breeding,NA,NA,FWS Buenos Aires National Wildlife Refuge; Buenos Aires Refuge Wilderness,NA,2004-01-15 GLR,2004-02-25 SMS,NA,NA
16257,ABXXX99999,19,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,190S080E,Pima,15050304,31111-F4,Las Guijas,2001,2001,2001,Altar Wash: N of Las Guijas Mountains,NA,"2001: Pair, fledged 2.",NA,NA,General comments,454278.64,3510982.79,NA,NA,High,N - Confident full extent of EO is NOT known,Breeding,NA,NA,FWS Buenos Aires National Wildlife Refuge; Buenos Aires Refuge Wilderness,NA,2004-01-15 GLR,2004-02-25 SMS,NA,NA
16258,ABXXX99999,20,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,210S080E,Pima,15050304,31111-E5,Presumido Peak,2001,2001,2001,Baboquivari Mountains: Bajillo De Las Chivas,NA,"2001: Pair, fledged 4.",NA,NA,General comments,448598.28,3495855.08,NA,NA,High,N - Confident full extent of EO is NOT known,Breeding,NA,NA,FWS Buenos Aires National Wildlife Refuge; Buenos Aires Refuge Wilderness,NA,2004-01-15 GLR,2004-02-25 SMS,NA,NA
16259,ABXXX99999,21,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,210S080E,Pima,15050304,31111-E5,Presumido Peak,2001,2001,2001,Baboquivari Mountains: Bajillo De Las Chivas,NA,"2001: Pair, fledged 4.",NA,NA,General comments,446460.17,3491123.18,NA,NA,High,N - Confident full extent of EO is NOT known,Breeding,NA,NA,FWS Buenos Aires National Wildlife Refuge; Buenos Aires Refuge Wilderness,NA,2004-01-15 GLR,2004-02-25 SMS,NA,NA
16260,ABXXX99999,22,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,220S080E,Pima,15050304,31111-E5,Presumido Peak,2001,2001,2001,Baboquivari Mountains: Pozo Verde Mountains,NA,"2001: Pair, nest failed.",NA,NA,General comments,447143.19,3489857.21,NA,NA,High,N - Confident full extent of EO is NOT known,Breeding,NA,NA,FWS Buenos Aires National Wildlife Refuge; Buenos Aires Refuge Wilderness,NA,2004-01-15 GLR,2004-02-25 SMS,NA,NA
16261,ABXXX99999,23,Interesting bird,An interesting bird,NA,NA,NA,1C,NA,G5,S2,220S080E,Pima,15080200,31111-E5,Presumido Peak,2001,2001,2001,Pozo Verde Mountains: Compartidero Flats,NA,"2001: Pair, fledged 2.",NA,NA,General comments,448696.23,3487595.25,NA,NA,High,N - Confident full extent of EO is NOT known,Breeding,NA,NA,FWS Buenos Aires National Wildlife Refuge; Buenos Aires Refuge Wilderness,NA,2004-01-15 GLR,2004-02-25 SMS,NA,NA
